2021-03-14T18:26:23.892+0300	INFO	server/main.go:116	server started
2021-04-27T22:13:21.963+0300	INFO	server/main.go:116	server started
2021-04-27T22:14:49.867+0300	DEBUG	server/main.go:66	file successfully uploaded	{"fileName": "test-logs-examples/small/small_file.txt", "size": 28, "header": {"Content-Disposition":["form-data; name=\"myFile\"; filename=\"test-logs-examples/small/small_file.txt\""],"Content-Type":["application/octet-stream"]}, "reqHeaders": {"Accept-Encoding":["gzip"],"Clinic-Id":["test5-local-clinic-id"],"Content-Length":["301"],"Content-Type":["multipart/form-data; boundary=458e8a06d3a6c2c83a490c3ef55b15df37f117f4fb5d9d64021b21d03735"],"Device-Id":["test5-local-device-id"],"User-Agent":["Go-http-client/1.1"]}}
2021-04-27T22:25:39.994+0300	DEBUG	server/main.go:66	file successfully uploaded	{"fileName": "test-logs-examples/small/small_file.txt", "size": 28, "header": {"Content-Disposition":["form-data; name=\"myFile\"; filename=\"test-logs-examples/small/small_file.txt\""],"Content-Type":["application/octet-stream"]}, "reqHeaders": {"Accept-Encoding":["gzip"],"Clinic-Id":["test5-local-clinic-id"],"Content-Length":["301"],"Content-Type":["multipart/form-data; boundary=7a8eb502c3fdef03fd03db30248df2eea420705cdf59c426e875d4f80a0b"],"Device-Id":["test5-local-device-id"],"User-Agent":["Go-http-client/1.1"]}}
2021-04-27T22:26:20.793+0300	DEBUG	server/main.go:66	file successfully uploaded	{"fileName": "test-logs-examples/small/small_file.txt", "size": 28, "header": {"Content-Disposition":["form-data; name=\"myFile\"; filename=\"test-logs-examples/small/small_file.txt\""],"Content-Type":["application/octet-stream"]}, "reqHeaders": {"Accept-Encoding":["gzip"],"Clinic-Id":["test5-local-clinic-id"],"Content-Length":["301"],"Content-Type":["multipart/form-data; boundary=366710232ae8937a6b63b231dabf276fe40590dfbc76adada40025f60cf5"],"Device-Id":["test5-local-device-id"],"User-Agent":["Go-http-client/1.1"]}}
2021-04-27T22:26:58.399+0300	DEBUG	server/main.go:66	file successfully uploaded	{"fileName": "test-logs-examples/export/.DS_Store", "size": 14340, "header": {"Content-Disposition":["form-data; name=\"myFile\"; filename=\"test-logs-examples/export/.DS_Store\""],"Content-Type":["application/octet-stream"]}, "reqHeaders": {"Accept-Encoding":["gzip"],"Clinic-Id":["test5-local-clinic-id"],"Content-Length":["14609"],"Content-Type":["multipart/form-data; boundary=13d9a98d21528730fd5b172185d4836eb53e8bc07b42ca1d7e2183478649"],"Device-Id":["test5-local-device-id"],"User-Agent":["Go-http-client/1.1"]}}
2021-04-27T22:26:58.414+0300	DEBUG	server/main.go:66	file successfully uploaded	{"fileName": "test-logs-examples/export/1.txt", "size": 982032, "header": {"Content-Disposition":["form-data; name=\"myFile\"; filename=\"test-logs-examples/export/1.txt\""],"Content-Type":["application/octet-stream"]}, "reqHeaders": {"Accept-Encoding":["gzip"],"Clinic-Id":["test5-local-clinic-id"],"Content-Length":["982297"],"Content-Type":["multipart/form-data; boundary=c5c262e931285cb8770425f40f90287667a41bb24877869bde9eb6359db0"],"Device-Id":["test5-local-device-id"],"User-Agent":["Go-http-client/1.1"]}}
2021-04-27T22:26:58.422+0300	DEBUG	server/main.go:66	file successfully uploaded	{"fileName": "test-logs-examples/export/APCRemoteControl.log", "size": 626876, "header": {"Content-Disposition":["form-data; name=\"myFile\"; filename=\"test-logs-examples/export/APCRemoteControl.log\""],"Content-Type":["application/octet-stream"]}, "reqHeaders": {"Accept-Encoding":["gzip"],"Clinic-Id":["test5-local-clinic-id"],"Content-Length":["627156"],"Content-Type":["multipart/form-data; boundary=e7ee918d92846016a433f3dac042c2fb5799ed8844c8f8932f96c12b4509"],"Device-Id":["test5-local-device-id"],"User-Agent":["Go-http-client/1.1"]}}
2021-04-27T22:26:58.432+0300	DEBUG	server/main.go:66	file successfully uploaded	{"fileName": "test-logs-examples/export/CrashDump_000001.zip", "size": 964345, "header": {"Content-Disposition":["form-data; name=\"myFile\"; filename=\"test-logs-examples/export/CrashDump_000001.zip\""],"Content-Type":["application/octet-stream"]}, "reqHeaders": {"Accept-Encoding":["gzip"],"Clinic-Id":["test5-local-clinic-id"],"Content-Length":["964625"],"Content-Type":["multipart/form-data; boundary=bbab2077a4ab9de9553eb801f4efd33d471b96801990172a40555907641e"],"Device-Id":["test5-local-device-id"],"User-Agent":["Go-http-client/1.1"]}}
2021-04-27T22:26:58.433+0300	DEBUG	server/main.go:66	file successfully uploaded	{"fileName": "test-logs-examples/export/DevListServLog.txt", "size": 23307, "header": {"Content-Disposition":["form-data; name=\"myFile\"; filename=\"test-logs-examples/export/DevListServLog.txt\""],"Content-Type":["application/octet-stream"]}, "reqHeaders": {"Accept-Encoding":["gzip"],"Clinic-Id":["test5-local-clinic-id"],"Content-Length":["23585"],"Content-Type":["multipart/form-data; boundary=4b25d4161700cb198ff9921f86d7b687a7ba557a11e805c650fc4921fe37"],"Device-Id":["test5-local-device-id"],"User-Agent":["Go-http-client/1.1"]}}
2021-04-27T22:26:58.435+0300	DEBUG	server/main.go:66	file successfully uploaded	{"fileName": "test-logs-examples/export/DevListServLogExt.txt", "size": 10675, "header": {"Content-Disposition":["form-data; name=\"myFile\"; filename=\"test-logs-examples/export/DevListServLogExt.txt\""],"Content-Type":["application/octet-stream"]}, "reqHeaders": {"Accept-Encoding":["gzip"],"Clinic-Id":["test5-local-clinic-id"],"Content-Length":["10956"],"Content-Type":["multipart/form-data; boundary=788885551bc9c69ec530546c1f4bf76deaf516e0d313c0f5cf9521166ddb"],"Device-Id":["test5-local-device-id"],"User-Agent":["Go-http-client/1.1"]}}
2021-04-27T22:26:58.435+0300	DEBUG	server/main.go:66	file successfully uploaded	{"fileName": "test-logs-examples/export/EvntTimer.csv", "size": 2587, "header": {"Content-Disposition":["form-data; name=\"myFile\"; filename=\"test-logs-examples/export/EvntTimer.csv\""],"Content-Type":["application/octet-stream"]}, "reqHeaders": {"Accept-Encoding":["gzip"],"Clinic-Id":["test5-local-clinic-id"],"Content-Length":["2860"],"Content-Type":["multipart/form-data; boundary=536533b8d0264313ac5dc9a8113f585064783ea4f22f199b5d584c7a0068"],"Device-Id":["test5-local-device-id"],"User-Agent":["Go-http-client/1.1"]}}
2021-04-27T22:26:58.437+0300	DEBUG	server/main.go:66	file successfully uploaded	{"fileName": "test-logs-examples/export/FE-TestReports/Service.All tests (all probes must be detached).RFM_RSX.ADC_1.html", "size": 9793, "header": {"Content-Disposition":["form-data; name=\"myFile\"; filename=\"test-logs-examples/export/FE-TestReports/Service.All tests (all probes must be detached).RFM_RSX.ADC_1.html\""],"Content-Type":["application/octet-stream"]}, "reqHeaders": {"Accept-Encoding":["gzip"],"Clinic-Id":["test5-local-clinic-id"],"Content-Length":["10134"],"Content-Type":["multipart/form-data; boundary=2eae7809b4942c0aaa4cf6df428340a4bc1c917ffcf376d14aa04dd8e0b1"],"Device-Id":["test5-local-device-id"],"User-Agent":["Go-http-client/1.1"]}}
2021-04-27T22:26:58.439+0300	DEBUG	server/main.go:66	file successfully uploaded	{"fileName": "test-logs-examples/export/FE-TestReports/Service.All tests (all probes must be detached).RFM_RSX.ADC_10.html", "size": 14637, "header": {"Content-Disposition":["form-data; name=\"myFile\"; filename=\"test-logs-examples/export/FE-TestReports/Service.All tests (all probes must be detached).RFM_RSX.ADC_10.html\""],"Content-Type":["application/octet-stream"]}, "reqHeaders": {"Accept-Encoding":["gzip"],"Clinic-Id":["test5-local-clinic-id"],"Content-Length":["14979"],"Content-Type":["multipart/form-data; boundary=54811408b108a2b5e63b08a4e563d73a33677f2e0c2a8411ed53a5e2ceb5"],"Device-Id":["test5-local-device-id"],"User-Agent":["Go-http-client/1.1"]}}
2021-04-27T22:26:58.442+0300	DEBUG	server/main.go:66	file successfully uploaded	{"fileName": "test-logs-examples/export/FE-TestReports/Service.All tests (all probes must be detached).RFM_RSX.ADC_11.html", "size": 148125, "header": {"Content-Disposition":["form-data; name=\"myFile\"; filename=\"test-logs-examples/export/FE-TestReports/Service.All tests (all probes must be detached).RFM_RSX.ADC_11.html\""],"Content-Type":["application/octet-stream"]}, "reqHeaders": {"Accept-Encoding":["gzip"],"Clinic-Id":["test5-local-clinic-id"],"Content-Length":["148467"],"Content-Type":["multipart/form-data; boundary=8245578e3025a00fdd6aed0f81e4832d6f0916f039e4118fc1ba5393527b"],"Device-Id":["test5-local-device-id"],"User-Agent":["Go-http-client/1.1"]}}
2021-04-27T22:26:58.445+0300	DEBUG	server/main.go:66	file successfully uploaded	{"fileName": "test-logs-examples/export/FE-TestReports/Service.All tests (all probes must be detached).RFM_RSX.ADC_12.html", "size": 148121, "header": {"Content-Disposition":["form-data; name=\"myFile\"; filename=\"test-logs-examples/export/FE-TestReports/Service.All tests (all probes must be detached).RFM_RSX.ADC_12.html\""],"Content-Type":["application/octet-stream"]}, "reqHeaders": {"Accept-Encoding":["gzip"],"Clinic-Id":["test5-local-clinic-id"],"Content-Length":["148463"],"Content-Type":["multipart/form-data; boundary=23af13bf5c7ca898e5e13bd8d4b95d38116e1258d81f366253ffb57a92fa"],"Device-Id":["test5-local-device-id"],"User-Agent":["Go-http-client/1.1"]}}
2021-04-27T22:26:58.447+0300	DEBUG	server/main.go:66	file successfully uploaded	{"fileName": "test-logs-examples/export/FE-TestReports/Service.All tests (all probes must be detached).RFM_RSX.ADC_13.html", "size": 148173, "header": {"Content-Disposition":["form-data; name=\"myFile\"; filename=\"test-logs-examples/export/FE-TestReports/Service.All tests (all probes must be detached).RFM_RSX.ADC_13.html\""],"Content-Type":["application/octet-stream"]}, "reqHeaders": {"Accept-Encoding":["gzip"],"Clinic-Id":["test5-local-clinic-id"],"Content-Length":["148515"],"Content-Type":["multipart/form-data; boundary=87ca45567ff189d74d7bbd86f01b59d3cdc877c982ba76e8eedc7a912e12"],"Device-Id":["test5-local-device-id"],"User-Agent":["Go-http-client/1.1"]}}
2021-04-27T22:26:58.450+0300	DEBUG	server/main.go:66	file successfully uploaded	{"fileName": "test-logs-examples/export/FE-TestReports/Service.All tests (all probes must be detached).RFM_RSX.ADC_14.html", "size": 148205, "header": {"Content-Disposition":["form-data; name=\"myFile\"; filename=\"test-logs-examples/export/FE-TestReports/Service.All tests (all probes must be detached).RFM_RSX.ADC_14.html\""],"Content-Type":["application/octet-stream"]}, "reqHeaders": {"Accept-Encoding":["gzip"],"Clinic-Id":["test5-local-clinic-id"],"Content-Length":["148547"],"Content-Type":["multipart/form-data; boundary=3cc2205e905b701fabc6bf41f05efc8b95188397325dc1215db158e570b7"],"Device-Id":["test5-local-device-id"],"User-Agent":["Go-http-client/1.1"]}}
2021-04-27T22:26:58.453+0300	DEBUG	server/main.go:66	file successfully uploaded	{"fileName": "test-logs-examples/export/FE-TestReports/Service.All tests (all probes must be detached).RFM_RSX.ADC_15.html", "size": 148681, "header": {"Content-Disposition":["form-data; name=\"myFile\"; filename=\"test-logs-examples/export/FE-TestReports/Service.All tests (all probes must be detached).RFM_RSX.ADC_15.html\""],"Content-Type":["application/octet-stream"]}, "reqHeaders": {"Accept-Encoding":["gzip"],"Clinic-Id":["test5-local-clinic-id"],"Content-Length":["149023"],"Content-Type":["multipart/form-data; boundary=971a3d98034f542ff4bfaa9a4fbfd4e62e7f18e24b01d34bf7286c6ca420"],"Device-Id":["test5-local-device-id"],"User-Agent":["Go-http-client/1.1"]}}
2021-04-27T22:26:58.455+0300	DEBUG	server/main.go:66	file successfully uploaded	{"fileName": "test-logs-examples/export/FE-TestReports/Service.All tests (all probes must be detached).RFM_RSX.ADC_16.html", "size": 147505, "header": {"Content-Disposition":["form-data; name=\"myFile\"; filename=\"test-logs-examples/export/FE-TestReports/Service.All tests (all probes must be detached).RFM_RSX.ADC_16.html\""],"Content-Type":["application/octet-stream"]}, "reqHeaders": {"Accept-Encoding":["gzip"],"Clinic-Id":["test5-local-clinic-id"],"Content-Length":["147847"],"Content-Type":["multipart/form-data; boundary=6b314b2ede5d39cbfbdc1883302f0764cbe8444572dc4bb9c682dae7ffd4"],"Device-Id":["test5-local-device-id"],"User-Agent":["Go-http-client/1.1"]}}
2021-04-27T22:26:58.456+0300	DEBUG	server/main.go:66	file successfully uploaded	{"fileName": "test-logs-examples/export/FE-TestReports/Service.All tests (all probes must be detached).RFM_RSX.ADC_17.html", "size": 4116, "header": {"Content-Disposition":["form-data; name=\"myFile\"; filename=\"test-logs-examples/export/FE-TestReports/Service.All tests (all probes must be detached).RFM_RSX.ADC_17.html\""],"Content-Type":["application/octet-stream"]}, "reqHeaders": {"Accept-Encoding":["gzip"],"Clinic-Id":["test5-local-clinic-id"],"Content-Length":["4458"],"Content-Type":["multipart/form-data; boundary=7e8f9cbf0199e4047008baf597319d31ffa363679fee26c3adfc57ca5d15"],"Device-Id":["test5-local-device-id"],"User-Agent":["Go-http-client/1.1"]}}
2021-04-27T22:26:58.456+0300	DEBUG	server/main.go:66	file successfully uploaded	{"fileName": "test-logs-examples/export/FE-TestReports/Service.All tests (all probes must be detached).RFM_RSX.ADC_18.html", "size": 4116, "header": {"Content-Disposition":["form-data; name=\"myFile\"; filename=\"test-logs-examples/export/FE-TestReports/Service.All tests (all probes must be detached).RFM_RSX.ADC_18.html\""],"Content-Type":["application/octet-stream"]}, "reqHeaders": {"Accept-Encoding":["gzip"],"Clinic-Id":["test5-local-clinic-id"],"Content-Length":["4458"],"Content-Type":["multipart/form-data; boundary=144cc41f940626711d5b204a4b7d7b011316f22b98c9cb967067d271f685"],"Device-Id":["test5-local-device-id"],"User-Agent":["Go-http-client/1.1"]}}
2021-04-27T22:26:58.457+0300	DEBUG	server/main.go:66	file successfully uploaded	{"fileName": "test-logs-examples/export/FE-TestReports/Service.All tests (all probes must be detached).RFM_RSX.ADC_19.html", "size": 4116, "header": {"Content-Disposition":["form-data; name=\"myFile\"; filename=\"test-logs-examples/export/FE-TestReports/Service.All tests (all probes must be detached).RFM_RSX.ADC_19.html\""],"Content-Type":["application/octet-stream"]}, "reqHeaders": {"Accept-Encoding":["gzip"],"Clinic-Id":["test5-local-clinic-id"],"Content-Length":["4458"],"Content-Type":["multipart/form-data; boundary=8cb892ad102af1cce5b41d50081ddd9f70bf2ba3f5dfeff3abb8e2f2f71a"],"Device-Id":["test5-local-device-id"],"User-Agent":["Go-http-client/1.1"]}}
2021-04-27T22:26:58.458+0300	DEBUG	server/main.go:66	file successfully uploaded	{"fileName": "test-logs-examples/export/FE-TestReports/Service.All tests (all probes must be detached).RFM_RSX.ADC_2.html", "size": 4116, "header": {"Content-Disposition":["form-data; name=\"myFile\"; filename=\"test-logs-examples/export/FE-TestReports/Service.All tests (all probes must be detached).RFM_RSX.ADC_2.html\""],"Content-Type":["application/octet-stream"]}, "reqHeaders": {"Accept-Encoding":["gzip"],"Clinic-Id":["test5-local-clinic-id"],"Content-Length":["4457"],"Content-Type":["multipart/form-data; boundary=56fff34edb392b47207b9a4d6ce68c3231a97ffc43921c32aa4efcfbc233"],"Device-Id":["test5-local-device-id"],"User-Agent":["Go-http-client/1.1"]}}
2021-04-27T22:26:58.459+0300	DEBUG	server/main.go:66	file successfully uploaded	{"fileName": "test-logs-examples/export/FE-TestReports/Service.All tests (all probes must be detached).RFM_RSX.ADC_20.html", "size": 4116, "header": {"Content-Disposition":["form-data; name=\"myFile\"; filename=\"test-logs-examples/export/FE-TestReports/Service.All tests (all probes must be detached).RFM_RSX.ADC_20.html\""],"Content-Type":["application/octet-stream"]}, "reqHeaders": {"Accept-Encoding":["gzip"],"Clinic-Id":["test5-local-clinic-id"],"Content-Length":["4458"],"Content-Type":["multipart/form-data; boundary=117b0d36d184a91dccde654cad21c4b31fa0fd1fcfe6a87bfb5adf833d2f"],"Device-Id":["test5-local-device-id"],"User-Agent":["Go-http-client/1.1"]}}
2021-04-27T22:26:58.459+0300	DEBUG	server/main.go:66	file successfully uploaded	{"fileName": "test-logs-examples/export/FE-TestReports/Service.All tests (all probes must be detached).RFM_RSX.ADC_21.html", "size": 4118, "header": {"Content-Disposition":["form-data; name=\"myFile\"; filename=\"test-logs-examples/export/FE-TestReports/Service.All tests (all probes must be detached).RFM_RSX.ADC_21.html\""],"Content-Type":["application/octet-stream"]}, "reqHeaders": {"Accept-Encoding":["gzip"],"Clinic-Id":["test5-local-clinic-id"],"Content-Length":["4460"],"Content-Type":["multipart/form-data; boundary=a8b94310c5796b26687824564b2c91466c4097e2bd292aed6e280e1aed60"],"Device-Id":["test5-local-device-id"],"User-Agent":["Go-http-client/1.1"]}}
2021-04-27T22:26:58.462+0300	DEBUG	server/main.go:66	file successfully uploaded	{"fileName": "test-logs-examples/export/FE-TestReports/Service.All tests (all probes must be detached).RFM_RSX.ADC_22.html", "size": 114587, "header": {"Content-Disposition":["form-data; name=\"myFile\"; filename=\"test-logs-examples/export/FE-TestReports/Service.All tests (all probes must be detached).RFM_RSX.ADC_22.html\""],"Content-Type":["application/octet-stream"]}, "reqHeaders": {"Accept-Encoding":["gzip"],"Clinic-Id":["test5-local-clinic-id"],"Content-Length":["114929"],"Content-Type":["multipart/form-data; boundary=ec932cc184d00525d383f7bd3dec8c3203cbbc7558b0ed39166a5bf0f4eb"],"Device-Id":["test5-local-device-id"],"User-Agent":["Go-http-client/1.1"]}}
2021-04-27T22:26:58.464+0300	DEBUG	server/main.go:66	file successfully uploaded	{"fileName": "test-logs-examples/export/FE-TestReports/Service.All tests (all probes must be detached).RFM_RSX.ADC_23.html", "size": 114489, "header": {"Content-Disposition":["form-data; name=\"myFile\"; filename=\"test-logs-examples/export/FE-TestReports/Service.All tests (all probes must be detached).RFM_RSX.ADC_23.html\""],"Content-Type":["application/octet-stream"]}, "reqHeaders": {"Accept-Encoding":["gzip"],"Clinic-Id":["test5-local-clinic-id"],"Content-Length":["114831"],"Content-Type":["multipart/form-data; boundary=527ef19211776d4c2bf91bb26883c340f1a25905e61bfa35b6096f74855c"],"Device-Id":["test5-local-device-id"],"User-Agent":["Go-http-client/1.1"]}}
2021-04-27T22:26:58.464+0300	DEBUG	server/main.go:66	file successfully uploaded	{"fileName": "test-logs-examples/export/FE-TestReports/Service.All tests (all probes must be detached).RFM_RSX.ADC_24.html", "size": 4118, "header": {"Content-Disposition":["form-data; name=\"myFile\"; filename=\"test-logs-examples/export/FE-TestReports/Service.All tests (all probes must be detached).RFM_RSX.ADC_24.html\""],"Content-Type":["application/octet-stream"]}, "reqHeaders": {"Accept-Encoding":["gzip"],"Clinic-Id":["test5-local-clinic-id"],"Content-Length":["4460"],"Content-Type":["multipart/form-data; boundary=ae81761481db4b215de28040a0f9ea69606c2f29335adf7206b198994e60"],"Device-Id":["test5-local-device-id"],"User-Agent":["Go-http-client/1.1"]}}
2021-04-27T22:26:58.465+0300	DEBUG	server/main.go:66	file successfully uploaded	{"fileName": "test-logs-examples/export/FE-TestReports/Service.All tests (all probes must be detached).RFM_RSX.ADC_25.html", "size": 4118, "header": {"Content-Disposition":["form-data; name=\"myFile\"; filename=\"test-logs-examples/export/FE-TestReports/Service.All tests (all probes must be detached).RFM_RSX.ADC_25.html\""],"Content-Type":["application/octet-stream"]}, "reqHeaders": {"Accept-Encoding":["gzip"],"Clinic-Id":["test5-local-clinic-id"],"Content-Length":["4460"],"Content-Type":["multipart/form-data; boundary=f1061a727db74a769d4ba69a86d28c8888da0838e9d0b1eff6553ae4e5b8"],"Device-Id":["test5-local-device-id"],"User-Agent":["Go-http-client/1.1"]}}
2021-04-27T22:26:58.466+0300	DEBUG	server/main.go:66	file successfully uploaded	{"fileName": "test-logs-examples/export/FE-TestReports/Service.All tests (all probes must be detached).RFM_RSX.ADC_26.html", "size": 10347, "header": {"Content-Disposition":["form-data; name=\"myFile\"; filename=\"test-logs-examples/export/FE-TestReports/Service.All tests (all probes must be detached).RFM_RSX.ADC_26.html\""],"Content-Type":["application/octet-stream"]}, "reqHeaders": {"Accept-Encoding":["gzip"],"Clinic-Id":["test5-local-clinic-id"],"Content-Length":["10689"],"Content-Type":["multipart/form-data; boundary=2b1ec3149940847a3bb2bad21017f596d13eaa96feb5a54e0642d4347537"],"Device-Id":["test5-local-device-id"],"User-Agent":["Go-http-client/1.1"]}}
2021-04-27T22:26:58.468+0300	DEBUG	server/main.go:66	file successfully uploaded	{"fileName": "test-logs-examples/export/FE-TestReports/Service.All tests (all probes must be detached).RFM_RSX.ADC_27.html", "size": 108256, "header": {"Content-Disposition":["form-data; name=\"myFile\"; filename=\"test-logs-examples/export/FE-TestReports/Service.All tests (all probes must be detached).RFM_RSX.ADC_27.html\""],"Content-Type":["application/octet-stream"]}, "reqHeaders": {"Accept-Encoding":["gzip"],"Clinic-Id":["test5-local-clinic-id"],"Content-Length":["108598"],"Content-Type":["multipart/form-data; boundary=cc34b586dfd27ae8f6ede360b78e088be6958d9c49a30456559813aecae5"],"Device-Id":["test5-local-device-id"],"User-Agent":["Go-http-client/1.1"]}}
2021-04-27T22:26:58.468+0300	DEBUG	server/main.go:66	file successfully uploaded	{"fileName": "test-logs-examples/export/FE-TestReports/Service.All tests (all probes must be detached).RFM_RSX.ADC_28.html", "size": 4118, "header": {"Content-Disposition":["form-data; name=\"myFile\"; filename=\"test-logs-examples/export/FE-TestReports/Service.All tests (all probes must be detached).RFM_RSX.ADC_28.html\""],"Content-Type":["application/octet-stream"]}, "reqHeaders": {"Accept-Encoding":["gzip"],"Clinic-Id":["test5-local-clinic-id"],"Content-Length":["4460"],"Content-Type":["multipart/form-data; boundary=2bbc49cd79433d75f4cd8b7f9bf60067392dd310bf1489afaf5e05f6a021"],"Device-Id":["test5-local-device-id"],"User-Agent":["Go-http-client/1.1"]}}
2021-04-27T22:26:58.469+0300	DEBUG	server/main.go:66	file successfully uploaded	{"fileName": "test-logs-examples/export/FE-TestReports/Service.All tests (all probes must be detached).RFM_RSX.ADC_29.html", "size": 4118, "header": {"Content-Disposition":["form-data; name=\"myFile\"; filename=\"test-logs-examples/export/FE-TestReports/Service.All tests (all probes must be detached).RFM_RSX.ADC_29.html\""],"Content-Type":["application/octet-stream"]}, "reqHeaders": {"Accept-Encoding":["gzip"],"Clinic-Id":["test5-local-clinic-id"],"Content-Length":["4460"],"Content-Type":["multipart/form-data; boundary=944d130e01e2b5cdedeb3a91950aec2ea0b664cf5861a1f299ca466018b1"],"Device-Id":["test5-local-device-id"],"User-Agent":["Go-http-client/1.1"]}}
2021-04-27T22:26:58.470+0300	DEBUG	server/main.go:66	file successfully uploaded	{"fileName": "test-logs-examples/export/FE-TestReports/Service.All tests (all probes must be detached).RFM_RSX.ADC_3.html", "size": 4116, "header": {"Content-Disposition":["form-data; name=\"myFile\"; filename=\"test-logs-examples/export/FE-TestReports/Service.All tests (all probes must be detached).RFM_RSX.ADC_3.html\""],"Content-Type":["application/octet-stream"]}, "reqHeaders": {"Accept-Encoding":["gzip"],"Clinic-Id":["test5-local-clinic-id"],"Content-Length":["4457"],"Content-Type":["multipart/form-data; boundary=d509b1eb33a0d6424598d05a489f70fdfcffeb2ac090d5666d22131c08a4"],"Device-Id":["test5-local-device-id"],"User-Agent":["Go-http-client/1.1"]}}
